,overall
1599,73
83925,70
14721,49
12441,57
12700,56
99188,72
20234,68
24501,63
111625,58
1596,73
88603,65
131048,55
110278,60
1657,73
70531,66
7951,63
74393,62
126793,62
110771,59
49744,71
18255,71
28310,55
52988,67
33682,70
127029,62
70981,66
102187,68
69734,67
43806,57
11734,58
115105,77
131620,52
28993,52
71030,66
16562,74
3943,68
110218,60
53766,66
52050,68
100196,71
91834,62
103906,67
66410,71
44411,55
120697,68
128522,60
57301,63
76903,58
117269,72
84646,69
58792,61
33410,71
6995,64
73297,63
23383,64
90050,64
24652,62
69285,68
93917,58
77690,55
130622,56
122423,66
117419,72
62301,50
131012,55
59557,59
13365,55
127455,62
95101,55
51317,69
125116,64
74829,62
80061,77
128693,60
88757,65
101662,69
42471,60
116274,74
120870,68
103133,67
9963,61
99770,71
102231,68
7163,64
30682,76
13739,54
2868,70
57924,62
72054,65
61108,56
53733,66
97402,76
22436,65
91907,62
50164,70
129589,58
59379,60
36881,67
62424,47
75429,61
23380,64
45540,48
106137,65
85564,68
75385,61
65721,72
32029,73
44015,56
9735,61
118996,70
124846,64
2856,70
88726,65
23360,64
16895,74
37977,66
44850,53
93434,59
120696,68
73536,63
3508,69
124583,64
23515,64
39884,64
11670,58
6101,65
55739,64
36179,67
37849,66
69489,67
95731,52
82823,71
61728,53
30095,78
92849,60
1358,74
80272,76
107918,63
60921,56
52053,68
19752,68
122603,66
47496,75
66421,71
53841,66
64434,74
56904,63
75998,60
57224,63
72663,64
115396,76
101643,69
36930,67
96326,82
112198,57
49823,71
871,75
86543,67
79239,81
46954,76
44928,53
63772,76
130516,56
123964,65
126102,63
93074,60
59117,60
54778,65
125739,63
125375,64
26116,60
117110,72
78317,53
46420,78
97651,75
20256,68
60207,58
13973,53
64390,74
67712,69
37821,66
90215,64
61459,55
27448,57
20159,68
123373,65
4650,67
30424,77
79856,78
96873,78
32963,72
16396,75
89599,64
115361,76
42350,60
74188,62
116799,73
40631,63
19842,68
39747,64
56245,64
55134,65
73225,64
51017,69
72111,65
58936,60
57690,62
64606,74
106563,64
259,80
15935,76
80707,75
53338,67
73931,63
82499,72
100485,70
65037,73
7970,63
120896,68
113489,52
21189,66
59585,59
46017,80
45444,50
61194,55
3447,69
36082,68
44482,55
121903,67
115356,76
128337,60
117432,72
78135,54
85268,68
51323,69
80897,75
32683,72
111096,59
83386,70
50136,70
129716,58
6374,65
44349,55
1068,75
82072,72
13740,54
54011,66
113085,54
127532,61
6280,65
67748,69
33203,71
80266,76
18105,71
45607,90
33407,71
68086,69
44092,56
92814,60
67369,70
106070,65
73125,64
84066,70
92737,60
16867,74
126233,63
86785,67
85298,68
52383,68
84427,69
17743,72
61139,56
61364,55
56981,63
82977,71
52040,68
63398,77
880,75
80769,75
